ID,Name,Screen Size (inches),Memory,SSD,GPU,Brand,Operating System,CPU,Color,Resolution,Series,FullName,,,,,
35,"MSI GF Series - 15.6"" 144 Hz IPS - Intel Core i5 12th Gen 12450H (2.00GHz) - NVIDIA GeForce RTX 4050 Laptop GPU - 16 GB DDR4 - 512 GB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Thin GF63 12VE-068US )",15.6,16,512,NVIDIA GeForce RTX 4050,MSI,Windows11Home,Intel Core i5 12th Gen,Black,1920x1080,GF Series,"MSI GF Series - 15.6"" 144 Hz IPS - Intel Core i5 12th Gen 12450H (2.00GHz) - NVIDIA GeForce RTX 4050 Laptop GPU - 16 GB DDR4 - 512 GB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Thin GF63 12VE-068US )",,,,,
36,"MSI - 15.6"" 144 Hz IPS - AMD Ryzen 5 7000 Series 7535HS (3.30GHz) - NVIDIA GeForce RTX 4050 Laptop GPU - 8 GB DDR5 - 512 GB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Bravo 15 C7VE-010US )",15.6,8,512,NVIDIA GeForce RTX 4050,MSI,Windows11Home,AMD Ryzen 5 7000 Series,Aluminum Black,1920x1080,,"MSI - 15.6"" 144 Hz IPS - AMD Ryzen 5 7000 Series 7535HS (3.30GHz) - NVIDIA GeForce RTX 4050 Laptop GPU - 8 GB DDR5 - 512 GB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Bravo 15 C7VE-010US )",,,,,
37,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 7-7730U UMA 16GB 512GB NVMe SSD Win 11 home",14,16,512,AMD Radeon Graphics,MSI,Windows11Home,AMD Ryzen 7 7000 Series,Classic Black,1920x1080,,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 7-7730U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-048US",,,,,
38,"MSI - 15.6"" 144 Hz IPS - Intel Core i5 12th Gen 12450H (2.00GHz) - NVIDIA GeForce RTX 4060 Laptop GPU - 16 GB DDR5 - 1 TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana 15 B12VFK-265US )",15.6,16,1024,NVIDIA GeForce RTX 4060,MSI,Windows11Home,Intel Core i5 12th Gen,Black,1920x1080,,"MSI - 15.6"" 144 Hz IPS - Intel Core i5 12th Gen 12450H (2.00GHz) - NVIDIA GeForce RTX 4060 Laptop GPU - 16 GB DDR5 - 1 TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana 15 B12VFK-265US )",,,,,
39,ASUS ROG Strix G16 (2023) Gaming Laptop,16,32,1024,NVIDIA GeForce RTX 4070,ASUS,Windows11Pro,Intel Core i9 13th Gen,Eclipse Gray,2560x1600,ROG Strix G16,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16"" Nebula Display 16:10 QHD 240Hz, GeForce RTX 4070, Intel Core i9-13980HX, 32GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G614JI-XS96",,,,,
40,"ASUS ZenBook Pro Duo 15.6"" OLED 4K Touchscreen Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti   Windows 11 Pro 64-bit UX582ZW-XB99T",15.6 4K / UHD,32,1024,NVIDIA GeForce RTX 3070 Ti,ASUS,Windows11Pro,Intel Core i9 12th Gen,Celestial Blue (Aluminum),3840x2160,ZenBook Pro,"ASUS ZenBook Pro Duo 15.6"" OLED 4K Touchscreen Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti   Windows 11 Pro 64-bit UX582ZW-XB99T",,,,,
41,ASUS TUF Gaming A17 (2021) Gaming Laptop,17.3,8,512,NVIDIA GeForce GTX 1650,ASUS,Windows11Home,AMD Ryzen 5 4000 Series,Graphite Black,1920x1080,TUF Gaming A17,"ASUS TUF Gaming A17 (2021) Gaming Laptop, 17.3"" 144Hz FHD IPS-Type Display, AMD Ryzen 5 4600H, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, RGB Keyboard, Windows 11 Home, FA706IHR-RS53",,,,,
42,ASUS VivoBook S 15 Slim Laptop,15.6,16,1024,AMD Radeon Graphics,ASUS,Windows11Home,AMD Ryzen 7 5000 Series,Indie Black,1920x1080,VivoBook S,"ASUS VivoBook S 15 Slim Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Windows 11 Home, Fingerprint Reader, Indie Black, S3502QA-NS77",,,,,
43,"MSI Titan Series - 17.3"" 4K / UHD 144 Hz IPS - Intel Core i9 13th Gen 13980HX (2.20GHz) - NVIDIA GeForce RTX 4090 Laptop GPU - 128 GB DDR5 - 4 TB NVMe( 2TB x 2) SSD - Windows 11 Pro 64-bit - Gaming Laptop (Titan GT77HX 13VI-042US )",17.3 4K / UHD,128,4096,NVIDIA GeForce RTX 4090,MSI,Windows11Pro,Intel Core i9 13th Gen,Core Black,3840x2160,GT Series,"MSI Titan Series - 17.3"" 4K / UHD 144 Hz IPS - Intel Core i9 13th Gen 13980HX (2.20GHz) - NVIDIA GeForce RTX 4090 Laptop GPU - 128 GB DDR5 - 4 TB NVMe( 2TB x 2) SSD - Windows 11 Pro 64-bit - Gaming Laptop (Titan GT77HX 13VI-042US )",,,,,
44,"Lenovo ThinkPad L15 Gen 1 15.6"" FHD IPS Business Laptop (AMD Ryzen 5 PRO 4650U 6-Core 2.10GHz",15.6,64,2048,AMD Radeon Graphics,Lenovo,Windows11Pro,AMD Ryzen 5 4000 Series,Black,1920x1080,ThinkPad L15 Gen 1,"Lenovo ThinkPad L15 Gen 1 15.6"" FHD IPS Business Laptop (AMD Ryzen 5 PRO 4650U 6-Core 2.10GHz, AMD Radeon, 64GB RAM, 2TB PCIe SSD, WiFi 6, USB 3.2, Win 11 Pro) w/Dockztorm Dock",,,,,
45,RATEYUSO Windows 11 Pro Laptop,15.6,16,512,Intel UHD Graphics,,Windows11Pro,Intel Celeron,,1920x1080,,"RATEYUSO Windows 11 Pro Laptop, 15.6"" FHD(1920 x 1080) IPS Display,Intel N5095 CPU Notebook 16GB RAM/512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader",,,,,
46,"MSI GP Series - 15.6"" 240 Hz - Intel Core i7 11th Gen 11800H (2.30GHz) - NVIDIA GeForce RTX 3070 Laptop GPU - 32 GB DDR4 - 1 TB NVMe SSD - Windows 11 Pro 64-bit - Gaming Laptop (GP66 Leopard 11UG-687 )",15.6,32,1024,NVIDIA GeForce RTX 3070,MSI,Windows11Pro,Intel Core i7 11th Gen,Core Black,1920x1080,GP Series,"MSI GP Series - 15.6"" 240 Hz - Intel Core i7 11th Gen 11800H (2.30GHz) - NVIDIA GeForce RTX 3070 Laptop GPU - 32 GB DDR4 - 1 TB NVMe SSD - Windows 11 Pro 64-bit - Gaming Laptop (GP66 Leopard 11UG-687 )",,,,,
47,"Acer Predator Helios 16 PH16-71-948L Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32 GB DDR5 1 TB PCIe Gen 4 SSD 16"" WQXGA 240 Hz IPS Windows 11 Home Gaming Laptop",16,32,1024,NVIDIA GeForce RTX 4080,Acer,Windows11Home,Intel Core i9 13th Gen,Abyssal Black,2560x1600,Predator Helios 16,"Acer Predator Helios 16 PH16-71-948L Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32 GB DDR5 1 TB PCIe Gen 4 SSD 16"" WQXGA 240 Hz IPS Windows 11 Home Gaming Laptop",,,,,
